time s (max+min)	omega rad/s	omegaC average (rad/s)	omegaC(t) rad/s	viscosity (Pa s)	viscosity average (Pas)
149.36	3.7825	0.13000	0.32865	12.588	7.2073
150.14	3.7825	0.13000	0.80847	5.1171	7.2073
150.28	3.7825	0.13000	0.46092	8.9755	7.2073
152.51	3.7825	0.13000	0.72067	5.7405	7.2073
153.56	3.7825	0.13000	0.60093	6.8843	7.2073
155.00	3.7825	0.13000	1.3210	3.1317	7.2073
155.14	3.7825	0.13000	0.36100	11.460	7.2073
155.79	3.7825	0.13000	1.5314	2.7015	7.2073
156.06	3.7825	0.13000	0.83706	4.9423	7.2073
156.71	3.7825	0.13000	1.0514	3.9349	7.2073
156.98	3.7825	0.13000	0.58644	7.0544	7.2073
157.63	3.7825	0.13000	0.80059	5.1674	7.2073
157.76	3.7825	0.13000	1.3820	2.9935	7.2073
159.21	3.7825	0.13000	0.95736	4.3212	7.2073
160.39	3.7825	0.13000	0.34098	12.133	7.2073
160.92	3.7825	0.13000	0.96956	4.2669	7.2073
161.18	3.7825	0.13000	0.83160	4.9748	7.2073
162.10	3.7825	0.13000	1.0848	3.8136	7.2073
162.62	3.7825	0.13000	0.74500	5.5530	7.2073
162.89	3.7825	0.13000	0.65597	6.3067	7.2073
164.33	3.7825	0.13000	1.6052	2.5773	7.2073
164.46	3.7825	0.13000	0.52170	7.9298	7.2073
165.25	3.7825	0.13000	0.52637	7.8596	7.2073
165.38	3.7825	0.13000	0.91998	4.4968	7.2073
166.17	3.7825	0.13000	0.53511	7.7312	7.2073
166.83	3.7825	0.13000	1.3361	3.0964	7.2073
167.09	3.7825	0.13000	1.1109	3.7240	7.2073
167.75	3.7825	0.13000	1.0482	3.9467	7.2073
167.88	3.7825	0.13000	0.70812	5.8422	7.2073
168.67	3.7825	0.13000	0.90518	4.5703	7.2073
168.80	3.7825	0.13000	0.85569	4.8347	7.2073
169.59	3.7825	0.13000	1.3650	3.0308	7.2073
171.16	3.7825	0.13000	0.56405	7.3345	7.2073
171.29	3.7825	0.13000	1.1464	3.6088	7.2073
171.95	3.7825	0.13000	0.23549	17.568	7.2073
173.00	3.7825	0.13000	1.3123	3.1525	7.2073
174.45	3.7825	0.13000	1.4940	2.7690	7.2073
174.58	3.7825	0.13000	0.63353	6.5300	7.2073
175.50	3.7825	0.13000	1.4255	2.9022	7.2073
176.15	3.7825	0.13000	0.094512	43.772	7.2073
177.99	3.7825	0.13000	1.0241	4.0396	7.2073
178.65	3.7825	0.13000	0.27499	15.044	7.2073
178.78	3.7825	0.13000	0.92011	4.4962	7.2073
180.23	3.7825	0.13000	0.54306	7.6179	7.2073
181.28	3.7825	0.13000	0.77327	5.3500	7.2073
182.72	3.7825	0.13000	0.39653	10.433	7.2073
182.98	3.7825	0.13000	0.95338	4.3393	7.2073
183.64	3.7825	0.13000	1.5199	2.7218	7.2073
183.90	3.7825	0.13000	1.2751	3.2444	7.2073
184.56	3.7825	0.13000	0.91519	4.5204	7.2073
184.69	3.7825	0.13000	0.75252	5.4976	7.2073
185.35	3.7825	0.13000	0.58779	7.0383	7.2073
185.61	3.7825	0.13000	0.83268	4.9683	7.2073
186.27	3.7825	0.13000	0.56417	7.3328	7.2073
186.40	3.7825	0.13000	0.36870	11.220	7.2073
187.84	3.7825	0.13000	0.82256	5.0294	7.2073
188.11	3.7825	0.13000	0.81792	5.0580	7.2073
188.76	3.7825	0.13000	0.84861	4.8751	7.2073
188.90	3.7825	0.13000	0.67226	6.1538	7.2073
189.82	3.7825	0.13000	0.41148	10.054	7.2073
190.34	3.7825	0.13000	1.1768	3.5154	7.2073
190.60	3.7825	0.13000	1.5316	2.7011	7.2073
192.05	3.7825	0.13000	1.2011	3.4444	7.2073
192.31	3.7825	0.13000	0.94239	4.3899	7.2073
193.76	3.7825	0.13000	0.71557	5.7814	7.2073
193.89	3.7825	0.13000	0.24964	16.572	7.2073
194.81	3.7825	0.13000	0.77041	5.3699	7.2073
195.33	3.7825	0.13000	1.3045	3.1713	7.2073
195.60	3.7825	0.13000	0.73761	5.6086	7.2073
197.04	3.7825	0.13000	1.0511	3.9360	7.2073
197.30	3.7825	0.13000	1.2662	3.2672	7.2073
197.96	3.7825	0.13000	1.2400	3.3364	7.2073
198.09	3.7825	0.13000	1.3392	3.0892	7.2073
198.88	3.7825	0.13000	0.52152	7.9326	7.2073
199.01	3.7825	0.13000	0.57245	7.2268	7.2073
200.46	3.7825	0.13000	1.0744	3.8505	7.2073
201.37	3.7825	0.13000	0.40199	10.291	7.2073
201.51	3.7825	0.13000	1.3407	3.0858	7.2073
202.16	3.7825	0.13000	1.1178	3.7010	7.2073
203.08	3.7825	0.13000	0.42922	9.6384	7.2073
203.21	3.7825	0.13000	1.1470	3.6069	7.2073
203.87	3.7825	0.13000	0.51762	7.9924	7.2073
204.00	3.7825	0.13000	1.0798	3.8312	7.2073
205.45	3.7825	0.13000	1.0185	4.0618	7.2073
205.71	3.7825	0.13000	1.1938	3.4654	7.2073
207.15	3.7825	0.13000	0.65976	6.2705	7.2073
207.94	3.7825	0.13000	0.77810	5.3168	7.2073
208.21	3.7825	0.13000	0.69574	5.9462	7.2073
