time s	psi(t) rad	time s (max)	psi Max	derivative psiMax	J	time s (min)	psi Min	derivative psiMin
25.815	0.81037							
25.946	0.90545							
26.077	1.0070							
26.208	1.2328							
26.339	1.4152							
26.470	1.5285							
26.601	1.5985							
26.732	1.6355							
26.863	1.6698							
26.994	1.6965							
27.125	1.7260							
27.256	1.7968							
27.387	1.7942							
27.518	1.1906							
27.649	0.54496							
27.780	0.51731							
27.911	0.54566							
28.042	0.60237							
28.173	0.66019							
28.304	0.71245							
28.435	0.78001							
28.566	0.85192							
28.697	0.92702							
28.828	1.0118							
28.959	1.0951							
29.090	1.4307							
29.222	1.5454							
29.353	1.6217							
29.484	1.6619							
29.615	1.6962							
29.746	1.7524							
29.877	1.8038							
30.008	1.8042							
30.139	1.7043							
30.270	0.65872							
30.401	0.53175							
30.532	0.55049							
30.663	0.59402							
30.794	0.65286							
30.925	0.72589							
31.056	0.80121							
31.187	0.86337							
31.318	0.91727							
31.449	0.96594							
31.580	1.0142							
31.711	1.2986							
31.842	1.5065							
31.973	1.5995							
32.104	1.6398							
32.235	1.6783							
32.366	1.7098							
32.497	1.7654							
32.629	1.8044							
32.760	1.7957							
32.891	1.0272							
33.022	0.59902							
33.153	0.57333							
33.284	0.58276							
33.415	0.63763							
33.546	0.71896							
33.677	0.77220							
33.808	0.82175							
33.939	0.87763							
34.070	0.93942							
34.201	1.0392							
34.332	1.1602							
34.463	1.5026							
34.594	1.6071							
34.725	1.6513							
34.856	1.6974							
34.987	1.7323							
35.118	1.8090							
35.249	1.9016							
35.380	1.9820							
35.511	2.0411							
35.642	1.8978							
35.773	1.4162							
35.904	0.81790							
36.036	0.74678							
36.167	0.76515							
36.298	0.79681							
36.429	0.84829							
36.560	0.91585							
36.691	0.98696							
36.822	1.0987							
36.953	1.3040							
37.084	1.4835							
37.215	1.6196							
37.346	1.6886							
37.477	1.7446							
37.608	1.8611							
37.739	2.0037							
37.870	2.0776							
38.001	2.1297							
38.132	2.1880							
38.263	2.2277							
38.394	2.2117							
38.525	1.5692							
38.656	1.1853							
38.787	0.89246							
38.918	0.87350							
39.049	0.92536							
39.180	0.97757							
39.311	1.0247							
39.443	1.1330							
39.574	1.2482							
39.705	1.3926							
39.836	1.6427							
39.967	1.7414							
40.098	1.8265							
40.229	1.8767							
40.360	1.8776							
40.491	2.0022							
40.622	2.0292							
40.753	2.1298							
40.884	2.2063							
41.015	2.2238							
41.146	2.1524							
41.277	1.0905							
41.408	0.85517							
41.539	0.77386							
41.670	0.82372							
41.801	0.91056							
41.932	1.0274							
42.063	1.1442							
42.194	1.2760							
42.325	1.4329							
42.456	1.6101							
42.587	1.7643							
42.718	1.8421							
42.849	1.8818							
42.981	1.9878							
43.112	2.0180							
43.243	2.1158							
43.374	2.2090							
43.505	2.2982							
43.636	2.4027							
43.767	2.5048							
43.898	2.5653							
44.029	2.5947							
44.160	2.2531							
44.291	1.8687							
44.422	1.8309							
44.553	1.8308							
44.684	1.8299							
44.815	1.8111							
44.946	1.7850							
45.077	1.8844							
45.208	1.9658							
45.339	1.9666							
45.470	2.0703							
45.601	2.1674							
45.732	2.2380							
45.863	2.2855							
45.994	2.3682							
46.125	2.4477							
46.256	2.5148							
46.388	2.5905							
46.519	2.6534							
46.650	2.7133							
46.781	2.7336							
46.912	2.6675							
47.043	1.8825							
47.174	1.8322							
47.305	1.8296							
47.436	1.8468							
47.567	1.8852							
47.698	1.9229							
47.829	1.9724							
47.960	2.0245							
48.091	2.0598							
48.222	2.1072							
48.353	2.2028							
48.484	2.3120							
48.615	2.4209							
48.746	2.4986							
48.877	2.5961							
49.008	2.6626							
49.139	2.7230							
49.270	2.7904							
49.401	2.8800							
49.532	2.9637							
49.663	2.9925							
49.795	3.0114							
49.926	2.6408							
50.057	1.8230							
50.188	1.7866							
50.319	1.8706							
50.450	1.9238							
50.581	1.9778							
50.712	2.0463							
50.843	2.1308							
50.974	2.1956							
51.105	2.2542							
51.236	2.3304							
51.367	2.4674							
51.498	2.5554							
51.629	2.6546							
51.760	2.7438							
51.891	2.8399							
52.022	2.9089							
52.153	2.9739							
52.284	3.0185							
52.415	3.0772							
52.546	3.0928							
52.677	2.1691							
52.808	1.9944							
52.939	1.9921							
53.070	2.0326							
53.202	2.0730							
53.333	2.1198							
53.464	2.1675							
53.595	2.2244							
53.726	2.3091							
53.857	2.4083							
53.988	2.5017							
54.119	2.6288							
54.250	2.7411							
54.381	2.8654							
54.512	2.9894							
54.643	3.1228							
54.774	3.2128							
54.905	3.3049							
55.036	3.3709							
55.167	3.4555							
55.298	3.5094							
55.429	3.5747							
55.560	3.5901							
55.691	3.1158							
55.822	2.1847							
55.953	2.2034							
56.084	2.2616							
56.215	2.3229							
56.346	2.3855							
56.477	2.4683							
56.609	2.5790							
56.740	2.7008							
56.871	2.8453							
57.002	2.9945							
57.133	3.1287							
57.264	3.2717							
57.395	3.3593							
57.526	3.4048							
57.657	3.4620							
57.788	3.5095							
57.919	3.5508							
58.050	3.5847							
58.181	3.6073							
58.312	3.5558							
58.443	2.6315							
58.574	2.5307							
58.705	2.4079							
58.836	2.4332							
58.967	2.4884							
59.098	2.5666							
59.229	2.6594							
59.360	2.7371							
59.491	2.8625							
59.622	3.0085							
59.753	3.1459							
59.884	3.2444							
60.016	3.3256							
60.147	3.4210							
60.278	3.4863							
60.409	3.5443							
60.540	3.5862							
60.671	3.6131							
60.802	3.6399							
60.933	3.6404							
61.064	3.5726							
61.195	2.4819							
61.326	2.3717							
61.457	2.3939							
61.588	2.4281							
61.719	2.4863							
61.850	2.5562							
61.981	2.6703							
62.112	2.8055							
62.243	2.9180							
62.374	3.0734							
62.505	3.2231							
62.636	3.3411							
62.767	3.4195							
62.898	3.5108							
63.029	3.5745							
63.160	3.6280							
63.291	3.6713							
63.423	3.7366							
63.554	3.7453							
63.685	3.7473							
63.816	2.9663							
63.947	2.5877							
64.078	2.4859							
64.209	2.4985							
64.340	2.5385							
64.471	2.6112							
64.602	2.7019							
64.733	2.8156							
64.864	2.9191							
64.995	3.0736							
65.126	3.2317							
65.257	3.3394							
65.388	3.4457							
65.519	3.5193							
65.650	3.5696							
65.781	3.6345							
65.912	3.6809							
66.043	3.7195							
66.174	3.7881							
66.305	3.8066							
66.436	3.7768							
66.567	2.8520							
66.698	2.5206							
66.829	2.4728							
66.961	2.4939							
67.092	2.5484							
67.223	2.6076							
67.354	2.7049							
67.485	2.8213							
67.616	2.9712							
67.747	3.1322							
67.878	3.2783							
68.009	3.3820							
68.140	3.4915							
68.271	3.5670							
68.402	3.6142							
68.533	3.6708							
68.664	3.7050							
68.795	3.7400							
68.926	3.7907							
69.057	3.7309							
69.188	2.7800							
69.319	2.5293							
69.450	2.4932							
69.581	2.4984							
69.712	2.5454							
69.843	2.6219							
69.974	2.7138							
70.105	2.8264							
70.236	2.9246							
70.368	3.0782							
70.499	3.2046							
70.630	3.3128							
70.761	3.3856							
70.892	3.4679							
71.023	3.5394							
71.154	3.6343							
71.285	3.6876							
71.416	3.7389							
71.547	3.7887							
71.678	3.7829							
71.809	3.6956							
71.940	2.6302							
72.071	2.4750							
72.202	2.4654							
72.333	2.5069							
72.464	2.5657							
72.595	2.6437							
72.726	2.7492							
72.857	2.8918							
72.988	3.0619							
73.119	3.2108							
73.250	3.3426							
73.381	3.4452							
73.512	3.5213							
73.643	3.5880							
73.775	3.6520							
73.906	3.6743							
74.037	3.7182							
74.168	3.7502							
74.299	3.7632							
74.430	3.6984							
74.561	2.4682							
74.692	2.3866							
74.823	2.4192							
74.954	2.4471							
75.085	2.5259							
75.216	2.6218							
75.347	2.7447							
75.478	2.9019							
75.609	3.0498							
75.740	3.1982							
75.871	3.3185							
76.002	3.4342							
76.133	3.4911							
76.264	3.5401							
76.395	3.6032							
76.526	3.6614							
76.657	3.7245							
76.788	3.7985							
76.919	3.8809							
77.050	3.9071							
77.182	3.9265							
77.313	3.0268							
77.444	2.6795							
77.575	2.6193							
77.706	2.6196							
77.837	2.6630							
77.968	2.7345							
78.099	2.8317							
78.230	2.9608							
78.361	3.0720							
78.492	3.2337							
78.623	3.3834							
78.754	3.4911							
78.885	3.5644							
79.016	3.6283							
79.147	3.7400							
79.278	3.8394							
79.409	3.8885							
79.540	3.9356							
79.671	3.9834							
79.802	4.0263							
79.933	3.8439							
80.064	2.7650							
80.195	2.6691							
80.326	2.6557							
80.457	2.6635							
80.589	2.7288							
80.720	2.8110							
80.851	2.9134							
80.982	3.0611							
81.113	3.1915							
81.244	3.3292							
81.375	3.4586							
81.506	3.5142							
81.637	3.5863							
81.768	3.6625							
81.899	3.7745							
82.030	3.8295							
82.161	3.9118							
82.292	3.9639							
82.423	3.9783							
82.554	3.9779							
82.685	2.9796							
82.816	2.5543							
82.947	2.5498							
83.078	2.5737							
83.209	2.6469							
83.340	2.7238							
83.471	2.8396							
83.602	2.9611							
83.733	3.1090							
83.864	3.2239							
83.995	3.3252							
84.127	3.4343							
84.258	3.5289							
84.389	3.6373							
84.520	3.6921							
84.651	3.8090							
84.782	3.8772							
84.913	3.9776							
85.044	4.0387							
85.175	4.0344							
85.306	3.8643							
85.437	2.6263							
85.568	2.5862							
85.699	2.6027							
85.830	2.6487							
85.961	2.7368							
86.092	2.8234							
86.223	2.9591							
86.354	3.1186							
86.485	3.2305							
86.616	3.3549							
86.747	3.4464							
86.878	3.5433							
87.009	3.6145							
87.140	3.7203							
87.271	3.8121							
87.402	3.9136							
87.534	3.9586							
87.665	4.0413							
87.796	4.1783							
87.927	4.2050							
88.058	4.2235							
88.189	4.2516							
88.320	4.2284							
88.451	3.2712							
88.582	2.9697							
88.713	2.9790							
88.844	3.0461							
88.975	3.1378							
89.106	3.2681							
89.237	3.4058							
89.368	3.5055							
89.499	3.5695							
89.630	3.6444							
89.761	3.8806							
89.892	3.9425							
90.023	4.0240							
90.154	4.0092							
90.285	4.0855							
90.416	4.1039							
90.547	4.1708							
90.678	4.2122							
90.809	4.2469							
90.941	4.2577							
91.072	4.0409							
91.203	3.0286							
91.334	2.9560							
91.465	2.9830							
91.596	3.0550							
91.727	3.2070							
91.858	3.3469							
91.989	3.4490							
92.120	3.5246							
92.251	3.6024							
92.382	3.6993							
92.513	3.7769							
92.644	3.8995							
92.775	3.9924							
92.906	4.0599							
93.037	4.1524							
93.168	4.2271							
93.299	4.2909							
93.430	4.3314							
93.561	4.3663							
93.692	4.4098							
93.823	4.4274							
93.954	4.3454							
94.085	3.1141							
94.216	3.1043							
94.348	3.1922							
94.479	3.3199							
94.610	3.4614							
94.741	3.5866							
94.872	3.6617							
95.003	3.7596							
95.134	3.8223							
95.265	3.8990							
95.396	4.0325							
95.527	4.1064							
95.658	4.1818							
95.789	4.2364							
95.920	4.2896							
96.051	4.3759							
96.182	4.4256							
96.313	4.4636							
96.444	4.4985							
96.575	4.5170							
96.706	4.2638							
96.837	3.4413							
96.968	3.3110							
97.099	3.3529							
97.230	3.4817							
97.361	3.5606							
97.492	3.6426							
97.623	3.7487							
97.755	3.8538							
97.886	3.9239							
98.017	4.0167							
98.148	4.1068							
98.279	4.1895							
98.410	4.2484							
98.541	4.3188							
98.672	4.3843							
98.803	4.4423							
98.934	4.4771							
99.065	4.4993							
99.196	4.5520							
99.327	4.5473							
99.458	4.3682							
99.589	3.6470							
99.720	3.6080							
99.851	3.6519							
99.982	3.6996							
100.11	3.7469							
100.24	3.8062							
100.38	3.8420							
100.51	3.9612							
100.64	4.0550							
100.77	4.1443							
100.90	4.2398							
101.03	4.2897							
101.16	4.3841							
101.29	4.4594							
101.42	4.5498							
101.55	4.6316							
101.69	4.6627							
101.82	4.6914							
101.95	4.7276							
102.08	4.7274							
102.21	4.4588							
102.34	3.5660							
102.47	3.5697							
102.60	3.6309							
102.73	3.6788							
102.87	3.7619							
103.00	3.8537							
103.13	3.9330							
103.26	4.0585							
103.39	4.1321							
103.52	4.2044							
103.65	4.2796							
103.78	4.3637							
103.91	4.4386							
104.04	4.5134							
104.18	4.5727							
104.31	4.6587							
104.44	4.7245							
104.57	4.7421							
104.70	4.7762							
104.83	4.7555							
104.96	4.6774							
105.09	3.7553							
105.22	3.7211							
105.35	3.7404							
105.49	3.7526							
105.62	3.8369							
105.75	3.9387							
105.88	4.0792							
